
015-09-09 16:50:01,837|B13FCBD2B02EDA9CEEDBB2680DE8794859D0F2C0|128.79.61.184:51413
2015-09-09 16:50:02,355|AA9AA7CA8AF6DB1D35453B53CC125EFC00003D4A|107.188.208.125:53869
2015-09-09 16:50:02,372|FCBF564E264A028414305BF82C75381E2DEC083B|195.154.68.8:6881
2015-09-09 16:50:02,406|527E18AD770C9B76826A1E960658FC2183272C62|90.154.68.126:20229
2015-09-09 16:50:02,426|527E18AD770C9B761598B596461C914A248FE492|90.154.68.126:20229
2015-09-09 16:50:02,434|527E18AD770C9B74F97ED1073557F38D2D435647|90.154.68.126:20229
2015-09-09 16:50:02,449|527E18AD770C9B7187E4FAA6E620848CFBBBCE03|90.154.68.126:20229
2015-09-09 16:50:02,453|880761185323E01174D5CBDA0000799400005A1B|74.126.111.99:56735
2015-09-09 16:50:02,459|527E18AD770C9B68B81237387C9E0BB8AB018418|90.154.68.126:20229
