
015-10-14 10:25:01,317|0000000000000000000000000000000000000000|86.97.176.93:6881
2015-10-14 10:25:01,320|AC78BF6DCFB42FB1F35A24D56B6BE016AF1D5209|77.41.49.57:35527
2015-10-14 10:25:01,329|F6145F68011E9A159404B55D735446130B915A23|84.43.147.9:50641
2015-10-14 10:25:01,336|9B3016B460B0FB7043DB5E91FCE9EC79CB22FAC2|68.47.240.89:63060
2015-10-14 10:25:01,337|D92AB29C84AE5BA02FB569F101DC6A8CDBA1EAA1|89.22.249.70:22547
2015-10-14 10:25:01,357|FA752A2F000027D3000030A100004AD5000030C1|182.185.139.46:21210
2015-10-14 10:25:01,359|F9AC67EE91E5CF34A7BDB732B75E55B18F39E976|76.101.164.158:6881
2015-10-14 10:25:01,364|E90B1BEE0000248B0000705D000064BA000008D8|117.206.141.77:15757
2015-10-14 10:25:01,366|37BA91ABF1F526C2F8F4D491CE801E948E7EE037|95.133.34.47:21146
2015-10-14 10:25:01,368|1DFC651162F47CFA2FD42EB44398C23F5420DFCA|43.231.62.166:55619
2015-10-14 10:25:01,594|DD08490F095D0A10A29A6B9BBEADC79CC2A895C8|27.16.108.30:1057
2015-10-14 10:25:01,612|EA2CDF88CA94C1C9396AE6EB47CC776288C66485|77.49.13.108:60139
2015-10-14 10:25:01,627|88477DE16CD6AE529049F1F1BBEC1BF300007802|79.207.81.171:14716
2015-10-14 10:25:01,669|88477DE16CD6AE529049F1F1BBEC1BF300007802|79.207.81.171:14716
