
015-11-06 00:20:01,701|5500000055000000550000005500000055000000|101.72.0.255:28993
2015-11-06 00:20:01,724|DB0EA2F96EADD102DC99034EB5DDB20F4449375E|178.215.74.22:42441
2015-11-06 00:20:01,753|397FD816962AAE42748A2DCC1C5143BAB7C0B4AD|89.164.119.117:40000
2015-11-06 00:20:01,756|7408748C765901F95C5117DED7F46AD63DBA8936|82.47.173.21:46919
2015-11-06 00:20:02,147|D5BEC29552418CF0C12794762A03657413301EED|62.165.252.96:6881
2015-11-06 00:20:02,150|65A1E1BE7356E69E9D8215534EE89B53BEDC4949|88.200.136.125:15364
2015-11-06 00:20:02,153|0C35CDEB80FB5E3955311BB674321ADC25328953|86.121.161.157:51413
2015-11-06 00:20:02,156|601E7BAD371121AECABDAECA029A8B689997451F|223.17.79.18:9745
2015-11-06 00:20:02,160|0DF966C834AAF20830D00AC28A68D386DFA93ECE|41.190.111.169:42341
2015-11-06 00:20:02,163|DAD1F8E9EBB3A6DB3C873D1B00003D3100004B5B|73.44.91.202:57549
2015-11-06 00:20:02,218|2C4813C40DFE2205CC36EBB6EB8B1F90BAB978D2|173.193.111.201:15000
2015-11-06 00:20:02,267|A70397B1C14DC880F725973D051D2E93CA410533|178.154.4.225:28737
2015-11-06 00:20:02,309|3E8ABCC1A3FED4CFD68A3DD300001AE500007C16|76.127.66.250:11680
2015-11-06 00:20:02,325|B933AC7DD768ACFCB01849CCAD6051C826673710|98.124.41.89:26580
2015-11-06 00:20:02,334|572D95A18C5686BF6C48320F0000569800002613|84.252.18.179:61123
2015-11-06 00:20:02,345|D191FB858609DB839FC11EBD0000137F00004D4C|78.154.12.89:30338
2015-11-06 00:20:02,352|8802565F1868B182B375770BEA897485EBB2F7AF|78.200.120.135:49965
2015-11-06 00:20:02,361|54A20CF6D6EC75AD02BC7EA200005DAB00001C64|1.225.225.81:56942
2015-11-06 00:20:02,364|00E90F5AC1D280EAE4031B0CFFF7957E35EB38C0|151.42.118.108:11629
2015-11-06 00:20:02,374|B6DCA4D6AE529049F1F1BBE9EBB3A6DB3C870CE1|107.139.134.243:6881
2015-11-06 00:20:02,379|9CC60A0E293A1C44EA89AEA8BEE98486EFC01144|178.164.203.52:14517
2015-11-06 00:20:02,408|0D2D802AE28C35794BE3C7F46E0181F846195518|66.203.212.190:56103
2015-11-06 00:20:02,424|43E9944188735740A43EA95CD8EC2DF77BC485B8|85.137.138.109:1024
2015-11-06 00:20:02,428|139F4A6A5796E2E40F54D32F072E63A33757793C|99.235.254.51:6881
2015-11-06 00:20:02,439|E29BA35416762E09C85FEBD2694BB959A786FC93|78.144.69.179:40959
2015-11-06 00:20:02,467|8528DCCCDE26E7ADE39FDDF46659A7FD678ECA07|82.178.120.90:6881
2015-11-06 00:20:02,500|1F1E80C2975B238FA2E2E06494B2E259D173F5C9|67.184.115.148:51413
2015-11-06 00:20:02,514|06988125BA5D7C7925245926000030640000055A|89.101.102.102:55970
2015-11-06 00:20:02,519|A7F0C759059711404C0C597B0000498500006DF0|82.45.84.27:26952
2015-11-06 00:20:02,526|98C3B19F778F8DB90C85D4917BD7BCF1E23AFF64|128.72.250.59:49833
2015-11-06 00:20:02,532|98C3B19F778F8DB90C85D4917BD7BCF1E23AFF64|128.72.250.59:49833
2015-11-06 00:20:02,536|65A1E1BE7356E69E9D8215534EE89B53BEDC4949|37.29.74.40:29864
2015-11-06 00:20:02,559|43C5F395F734BF93377BEA508A8E32C9B0B7E1C4|89.102.57.64:57218
